ShipName;planet;password
LOСА-302;Голевард;АРДСOЛОГ
BНВB-560;Угариния;НИЯВНАГУ
ЬSТА-367;Жезл Саурона;ОНАТSЗЕЖ
OADС-556;Шамлария;РИЯDAМАШ
OFYB-294;Золотая Даль;АЛЬYFЛОЗ
ХPВH-805;Жезл Саурона;ОНАВPЗЕЖ
VСЭT-405;Нейландия;ДИЯЭСЙЕН
НLЙO-968;Наразиния;НИЯЙLРАН
БUВУ-873;Тальсария;РИЯВUЛАТ
СНRO-490;Мирондия;ДИЯRНРИМ
TТДI-935;Беренс;ЕНСДТРЕБ
НЦUК-690;Фангорн;ОРНUЦНАФ
КNPE-304;Халасия;СИЯPNЛАХ
ЖКDК-209;Ширифповерье;РЬЕDКРИШ
ЭKFБ-921;Наразиния;НИЯFKРАН
CZЭГ-887;Моргариан;ИАНЭZРОМ
ЪTЬП-320;Валинор;НОРЬTЛАВ
TRYС-982;Арда;РДАYRДРА
WПШЗ-61;Шадирия;РИЯШПДАШ
МЭRU-259;Юэгусия;СИЯRЭГЭЮ
BМVО-810;Золотонос;НОСVМЛОЗ
ЦLМК-937;Абеллио;ЛИОМLЕБА
MAFС-471;Лузия;ЗИЯFAЗУЛ
BAMS-209;Харад;РАДMAРАХ
FAОQ-722;Голевард;АРДОAЛОГ
PШКЬ-178;Хилварика;ИКАКШЛИХ
ГEYЪ-555;Гординия;НИЯYEРОГ
ЫVДQ-284;Острудария;РИЯДVТСО
GRДA-175;Ясмария;РИЯДRМСЯ
ЮЙНЭ-279;Нимасия;СИЯНЙМИН
ООТГ-929;Цитрамор;МОРТОТИЦ
BЭSD-149;Чавланшан;ШАНSЭВАЧ
ЦLРJ-393;Оладария;РИЯРLАЛО
VBЬS-701;Яентарин;РИНЬBНЕЯ
YСGV-462;Утопия;ПИЯGСОТУ
CФOЕ-853;Абеллио;ЛИОOФЕБА
ЗПФБ-132;Идаллия;ЛИЯФПАДИ
РCUЛ-201;Ширифповерье;РЬЕUCРИШ
ZGГЛ-684;Ривенделл;ЕЛЛГGВИР
AСBN-655;Шамлария;РИЯBСМАШ
ZTЕC-122;Царкония;НИЯЕTРАЦ
РEШZ-584;Голевард;АРДШEЛОГ
ХЫВH-565;Сирмария;РИЯВЫРИС
YJСУ-431;Саурон;РОНСJУАС
BЛШБ-897;Праметия;ТИЯШЛАРП
ФMЭE-210;Фарнслетия;ТИЯЭMРАФ
CVЬЗ-730;Дуин;УИНЬVИУД
ЛITD-778;Цитрамор;МОРTIТИЦ
ДВTТ-686;Праметия;ТИЯTВАРП
ИФZШ-969;Едор;ДОРZФОДЕ
KЬKШ-824;Цитрамор;МОРKЬТИЦ
ЯЮOУ-188;Ривенделл;ЕЛЛOЮВИР
ЧOАИ-270;Южный кошмар;МАРАOНЖЮ
AZBV-274;Фиринция;ЦИЯBZРИФ
LIJЙ-879;Целиндия;ДИЯJIЛЕЦ
TGЫH-549;Жимрамир;МИРЫGМИЖ
ГKLS-231;Диасурия;РИЯLKАИД
ЬSBЮ-217;Уриллион;ИОНBSИРУ
ЬЯJТ-431;Юхусия;СИЯJЯУХЮ
ЕХXT-899;Арда;РДАXХДРА
БАЩX-551;Гондор;ДОРЩАНОГ
BЖЛЩ-86;Харад;РАДЛЖРАХ
JQМЩ-656;Юэгусия;СИЯМQГЭЮ
ОИVА-767;Яскария;РИЯVИКСЯ
MEЧУ-99;Зуария;РИЯЧEАУЗ
ФWДK-369;Лоркиндария;РИЯДWРОЛ
МCЩT-272;Услилка;ЛКАЩCЛСУ
ГВЫН-568;Тол-Арда;РДАЫВЛОТ
ГЖPЪ-715;Ярость Горы;ОРЫPЖОРЯ
ULMЦ-578;Лоркиндария;РИЯMLРОЛ
ФЦЗF-568;Фангорн;ОРНЗЦНАФ
ЭAАЭ-816;Мира;ИРААAРИМ
HNОЮ-871;Утопия;ПИЯОNОТУ
ЭRЗЗ-646;Аглатосия;СИЯЗRЛГА
ЗЮГТ-740;Праметия;ТИЯГЮАРП
СЩВA-750;Ясмария;РИЯВЩМСЯ
KPЫД-433;Сирмария;РИЯЫPРИС
ЪMPД-305;Парадель;ЕЛЬPMРАП
АФKO-611;Царкония;НИЯKФРАЦ
UСXД-311;Харантария;РИЯXСРАХ
DXБЗ-272;Мира;ИРАБXРИМ
IZNL-84;Моргариан;ИАНNZРОМ
ЗGQG-473;Ридайя;АЙЯQGДИР
VOЪЙ-952;Егана;АНАЪOАГЕ
HUРS-181;Есендария;РИЯРUЕСЕ
ВTWВ-386;Жимрамир;МИРWTМИЖ
XГYE-349;Варитор;ТОРYГРАВ
МCSП-434;Гординия;НИЯSCРОГ
FЬYЗ-289;Руэндария;РИЯYЬЭУР
ЯЮHC-766;Зуария;РИЯHЮАУЗ
ЛFBX-178;Моргариан;ИАНBFРОМ
ТLЕV-336;Сиалония;НИЯЕLАИС
ЩQЧУ-140;Тибулония;НИЯЧQБИТ
ЫRWГ-326;Королевство Эребора;ОРАWRРОК
ЫFНP-80;Ендария;РИЯНFДНЕ
ТWТJ-576;Парадель;ЕЛЬТWРАП
УMAE-221;Парадель;ЕЛЬAMРАП
NKФO-769;Мирфоний;НИЙФKРИМ
ЙХJК-208;Идаллия;ЛИЯJХАДИ
ЦАKV-491;Гондор;ДОРKАНОГ
